# num_steps: 3500; batch_size: 711; validation_step: 35; KP: 0.5
# random seed: 247562
# step valid-loss valid-acc. train-loss train-acc
34 3.2425034046173096 0.24036280810832977 3.167646646499634 0.2524210512638092
69 2.465468168258667 0.4244897961616516 2.2968802452087402 0.4660191237926483
104 1.7665215730667114 0.5761904716491699 1.522809624671936 0.6436104774475098
139 1.340430498123169 0.6693877577781677 1.060196876525879 0.7446765899658203
174 1.076580286026001 0.7306122183799744 0.7831307649612427 0.8165464401245117
209 0.9090241193771362 0.7678004503250122 0.6071239709854126 0.8577545285224915
244 0.7867003083229065 0.7922902703285217 0.4759114384651184 0.8881864547729492
279 0.6947184801101685 0.8063492178916931 0.383836954832077 0.9088191986083984
314 0.6374558806419373 0.8190476298332214 0.3195922076702118 0.9248541593551636
349 0.5730639100074768 0.8346938490867615 0.26839256286621094 0.9395384788513184
384 0.5272213816642761 0.8503401279449463 0.23528070747852325 0.94913649559021
419 0.4833080470561981 0.8605442047119141 0.1979200392961502 0.9547975659370422
454 0.46347901225090027 0.8680272102355957 0.17366789281368256 0.9617517590522766
489 0.43148568272590637 0.878911554813385 0.15621721744537354 0.9646254181861877
524 0.3917883336544037 0.8845804929733276 0.1407545506954193 0.9682174921035767
559 0.3753228485584259 0.8913832306861877 0.12489728629589081 0.9729015231132507
594 0.3621666431427002 0.8947845697402954 0.1138535588979721 0.976062536239624
629 0.3561210632324219 0.8936507701873779 0.10247549414634705 0.9764935970306396
664 0.3505934178829193 0.8961451053619385 0.09259653836488724 0.9799706935882568
699 0.33213838934898376 0.8979591727256775 0.0854334682226181 0.9807178378105164
734 0.3166603744029999 0.9056689143180847 0.07836002111434937 0.9839363098144531
769 0.3009040653705597 0.9099773168563843 0.07025574147701263 0.9858903884887695
804 0.29628679156303406 0.9117913842201233 0.06701879948377609 0.986838698387146
839 0.28594857454299927 0.9147392511367798 0.06006629019975662 0.9869824051856995
874 0.28733858466148376 0.9160997867584229 0.05520704388618469 0.9884766936302185
909 0.27766817808151245 0.9181405901908875 0.05508391559123993 0.9895973801612854
944 0.2779023051261902 0.9156462550163269 0.050845712423324585 0.9897698163986206
979 0.2837670147418976 0.91700679063797 0.04541685804724693 0.9907468557357788
1014 0.2615015208721161 0.922448992729187 0.04195217788219452 0.991034209728241
1049 0.25520774722099304 0.9260770678520203 0.04142693802714348 0.9922124147415161
1084 0.2396104633808136 0.9297052025794983 0.036290835589170456 0.9927871227264404
1119 0.267997682094574 0.9229024648666382 0.03412956744432449 0.9930170178413391
1154 0.2534809410572052 0.9326530694961548 0.031968001276254654 0.9936205148696899
1189 0.24383728206157684 0.9294784665107727 0.030645811930298805 0.9939653277397156
1224 0.24057334661483765 0.9331066012382507 0.02883194573223591 0.9945975542068481
1259 0.2422046661376953 0.9306122660636902 0.026546580716967583 0.9948274493217468
1294 0.23200207948684692 0.934920608997345 0.024949390441179276 0.9949710965156555
1329 0.23162591457366943 0.934920608997345 0.024334527552127838 0.9956320524215698
1364 0.23306375741958618 0.9308390021324158 0.023738933727145195 0.9956320524215698
1399 0.23353132605552673 0.9358276724815369 0.02097412385046482 0.9962930083274841
1434 0.22942566871643066 0.9342403411865234 0.02055802009999752 0.9965516328811646
1469 0.2233101725578308 0.936734676361084 0.017927279695868492 0.9968677163124084
1504 0.22518174350261688 0.936734676361084 0.017385145649313927 0.9971550703048706
1539 0.24504031240940094 0.9319728016853333 0.016703009605407715 0.9969539642333984
1574 0.22702865302562714 0.936734676361084 0.017167605459690094 0.997413694858551
